NUMBER	FIELD NAME	POSITION	LENGTH	FIELD TYPE
220	OCCUR_SPAN_FROM_4	1298	6	Alphanumeric
221	OCCUR_SPAN_THRU_4	1304	6	Alphanumeric
222	VALUE_CODE_1	1310	2	Alphanumeric
223	VALUE_AMOUNT_1	1312	9	Alphanumeric
224	VALUE_CODE_2	1321	2	Alphanumeric
225	VALUE_AMOUNT_2	1323	9	Alphanumeric
226	VALUE_CODE_3	1332	2	Alphanumeric
227	VALUE_AMOUNT_3	1334	9	Alphanumeric
228	VALUE_CODE_4	1343	2	Alphanumeric
229	VALUE_AMOUNT_4	1345	9	Alphanumeric
230	VALUE_CODE_5	1354	2	Alphanumeric
231	VALUE_AMOUNT_5	1356	9	Alphanumeric
232	VALUE_CODE_6	1365	2	Alphanumeric
233	VALUE_AMOUNT_6	1367	9	Alphanumeric
234	VALUE_CODE_7	1376	2	Alphanumeric
235	VALUE_AMOUNT_7	1378	9	Alphanumeric
236	VALUE_CODE_8	1387	2	Alphanumeric
237	VALUE_AMOUNT_8	1389	9	Alphanumeric
238	VALUE_CODE_9	1398	2	Alphanumeric
239	VALUE_AMOUNT_9	1400	9	Alphanumeric
240	VALUE_CODE_10	1409	2	Alphanumeric
241	VALUE_AMOUNT_10	1411	9	Alphanumeric
242	VALUE_CODE_11	1420	2	Alphanumeric
243	VALUE_AMOUNT_11	1422	9	Alphanumeric
244	VALUE_CODE_12	1431	2	Alphanumeric
245	VALUE_AMOUNT_12	1433	9	Alphanumeric
246	HCFA_MDC	1442	2	Alphanumeric
247	APR_MDC	1444	2	Alphanumeric
248	HCFA_DRG	1446	3	Alphanumeric
249	APR_DRG	1449	3	Alphanumeric
250	RISK_MORTALITY	1452	1	Alphanumeric
251	ILLNESS_SEVERITY	1453	1	Alphanumeric
252	ATTENDING_PHYSICIAN_UNIF_ID	1454	10	Alphanumeric
253	OPERATING_PHYSICIAN_UNIF_ID	1464	10	Alphanumeric
254	CERT_STATUS	1474	1	Alphanumeric
255	RECORD_ID	1475	12	Alphanumeric
